Adjacency,C[LM[Atomic radius]],C[LM[Charge]],C[LM[Covalent radius]],C[LM[Electronegativity]],C[LM[Mass]],C[LM[Specific heat]],C[LM[vdWRadius]],C[Sh[Adjacency]],C[Sh[CfMax]],C[Sh[CfMin]],C[Sh[CjMax]],C[Sh[CjMin]],C[Sh[Conectivity]],C[Sh[D3D]],C[Sh[Detour]],C[Sh[Distance]],Conectivity,CS[LM[Atomic radius]],CS[LM[Charge]],CS[LM[Covalent radius]],CS[LM[Electronegativity]],CS[LM[Mass]],CS[LM[Specific heat]],CS[LM[vdWRadius]],CS[Sh[Adjacency]],CS[Sh[CfMax]],CS[Sh[CfMin]],CS[Sh[CjMax]],CS[Sh[CjMin]],CS[Sh[Conectivity]],CS[Sh[D3D]],CS[Sh[Detour]],CS[Sh[Distance]],D3D,Detour,Distance,DS,IE[CfMax],IE[CfMin],IE[CjMax],IE[CjMin],IP[CfMax],IP[CfMin],IP[CjMax],IP[CjMin],PD^2S[LM[Atomic radius]],PD^2S[LM[Charge]],PD^2S[LM[Covalent radius]],PD^2S[LM[Electronegativity]],PD^2S[LM[Mass]],PD^2S[LM[Specific heat]],PD^2S[LM[vdWRadius]],PD^2S[Sh[Adjacency]],PD^2S[Sh[CfMax]],PD^2S[Sh[CfMin]],PD^2S[Sh[CjMax]],PD^2S[Sh[CjMin]],PD^2S[Sh[Conectivity]],PD^2S[Sh[D3D]],PD^2S[Sh[Detour]],PD^2S[Sh[Distance]],PDS[LM[Atomic radius]],PDS[LM[Charge]],PDS[LM[Covalent radius]],PDS[LM[Electronegativity]],PDS[LM[Mass]],PDS[LM[Specific heat]],PDS[LM[vdWRadius]],PDS[Sh[Adjacency]],PDS[Sh[CfMax]],PDS[Sh[CfMin]],PDS[Sh[CjMax]],PDS[Sh[CjMin]],PDS[Sh[Conectivity]],PDS[Sh[D3D]],PDS[Sh[Detour]],PDS[Sh[Distance]],PDS1[LM[Atomic radius]],PDS1[LM[Charge]],PDS1[LM[Covalent radius]],PDS1[LM[Electronegativity]],PDS1[LM[Mass]],PDS1[LM[Specific heat]],PDS1[LM[vdWRadius]],PDS1[Sh[Adjacency]],PDS1[Sh[CfMax]],PDS1[Sh[CfMin]],PDS1[Sh[CjMax]],PDS1[Sh[CjMin]],PDS1[Sh[Conectivity]],PDS1[Sh[D3D]],PDS1[Sh[Detour]],PDS1[Sh[Distance]],PDS2[LM[Atomic radius]],PDS2[LM[Charge]],PDS2[LM[Covalent radius]],PDS2[LM[Electronegativity]],PDS2[LM[Mass]],PDS2[LM[Specific heat]],PDS2[LM[vdWRadius]],PDS2[Sh[Adjacency]],PDS2[Sh[CfMax]],PDS2[Sh[CfMin]],PDS2[Sh[CjMax]],PDS2[Sh[CjMin]],PDS2[Sh[Conectivity]],PDS2[Sh[D3D]],PDS2[Sh[Detour]],PDS2[Sh[Distance]],PDS3[LM[Atomic radius]],PDS3[LM[Charge]],PDS3[LM[Covalent radius]],PDS3[LM[Electronegativity]],PDS3[LM[Mass]],PDS3[LM[Specific heat]],PDS3[LM[vdWRadius]],PDS3[Sh[Adjacency]],PDS3[Sh[CfMax]],PDS3[Sh[CfMin]],PDS3[Sh[CjMax]],PDS3[Sh[CjMin]],PDS3[Sh[Conectivity]],PDS3[Sh[D3D]],PDS3[Sh[Detour]],PDS3[Sh[Distance]],PDS4[LM[Atomic radius]],PDS4[LM[Charge]],PDS4[LM[Covalent radius]],PDS4[LM[Electronegativity]],PDS4[LM[Mass]],PDS4[LM[Specific heat]],PDS4[LM[vdWRadius]],PDS4[Sh[Adjacency]],PDS4[Sh[CfMax]],PDS4[Sh[CfMin]],PDS4[Sh[CjMax]],PDS4[Sh[CjMin]],PDS4[Sh[Conectivity]],PDS4[Sh[D3D]],PDS4[Sh[Detour]],PDS4[Sh[Distance]],PRD^2S[LM[Atomic radius]],PRD^2S[LM[Charge]],PRD^2S[LM[Covalent radius]],PRD^2S[LM[Electronegativity]],PRD^2S[LM[Mass]],PRD^2S[LM[Specific heat]],PRD^2S[LM[vdWRadius]],PRD^2S[Sh[Adjacency]],PRD^2S[Sh[CfMax]],PRD^2S[Sh[CfMin]],PRD^2S[Sh[CjMax]],PRD^2S[Sh[CjMin]],PRD^2S[Sh[Conectivity]],PRD^2S[Sh[D3D]],PRD^2S[Sh[Detour]],PRD^2S[Sh[Distance]],PRDS[LM[Atomic radius]],PRDS[LM[Charge]],PRDS[LM[Covalent radius]],PRDS[LM[Electronegativity]],PRDS[LM[Mass]],PRDS[LM[Specific heat]],PRDS[LM[vdWRadius]],PRDS[Sh[Adjacency]],PRDS[Sh[CfMax]],PRDS[Sh[CfMin]],PRDS[Sh[CjMax]],PRDS[Sh[CjMin]],PRDS[Sh[Conectivity]],PRDS[Sh[D3D]],PRDS[Sh[Detour]],PRDS[Sh[Distance]],Randic,SCH[AdjacencyAdjacencyConectivity],SCH[CfMinAdjacencyCfMax],SCH[CjMinAdjacencyCjMax],SCH[DistanceAdjacencyDetour],Size,SzMin,U,WkOp[Adjacency Conectivity Distance],WkOp[CfMin CfMax D3D],WkOp[Detour CjMin CjMax],X[LM[Atomic radius]],X[LM[Charge]],X[LM[Covalent radius]],X[LM[Electronegativity]],X[LM[Mass]],X[LM[Specific heat]],X[LM[vdWRadius]],X[Sh[Adjacency]],X[Sh[CfMax]],X[Sh[CfMin]],X[Sh[CjMax]],X[Sh[CjMin]],X[Sh[Conectivity]],X[Sh[D3D]],X[Sh[Detour]],X[Sh[Distance]]
17,2.39149,0,2.42355,2.1259,1.71343,2.45656,2.23563,14.6475,2.22315,1.96552,2.23133,1.99145,14.5217,1.9906,1.8235,2.02825,23,205.5,0,177.78,587.25,3750,161.145,382.5,49,413,1287,407,1183,61,815.539,2225,689,400.27,1105,337,13.6467,34.5,309.5,34.5,309.5,183,1458.5,180,1277.5,2534.21,0,2233.41,7362,57202,1995.76,4702.2,34,5444,14804,5330,12962,46,15738,29392,13394,616.49,0,538.006,1775.4,12498,484.399,1145.8,34,1300,3840,1274,3442,46,3253.34,7136,2766,30.99,0,26.482,87.6,478,24.233,57.8,34,74,232,74,232,46,48.6345,348,34,91.2,0,78.208,258.6,1480,71.372,170,0,148,652,148,580,0,244.973,1036,200,125.88,0,108.072,357.3,2076,98.538,234.6,0,270,840,270,792,0,479.441,1494,414,124.16,0,107.136,354,2192,97.304,231.2,0,256,816,240,752,0,628.919,1440,544,50.3335,0,43.1195,142.594,805.14,39.3813,93.8392,34,109.572,364.927,109.242,352.067,46,116.362,570.734,90.9595,82.9887,0,71.3407,235.826,1393.26,64.9822,154.631,34,174.021,580.726,172.621,547.212,46,256.409,948.667,210,7.23718,198,35750,33478,100920,15,619,105,766,4.56E+26,6.09E+31,0.126279,0,0.125971,0.0102271,0.00100191,0.126209,0.126331,0.122667,0.0104983,0.0115686,0.0104983,0.0115662,0.130667,0.0103325,0.0123549,0.0102334
18,2.48968,0,2.52886,2.19442,1.83788,2.51299,2.3163,15.6261,2.26479,2.01781,2.26994,2.04521,15.4756,2.06229,1.86506,2.0855,25,222.72,0,192.64,684.16,3200,202.88,425.6,52,528,1581,520,1423,66,921.753,2718,826,452.876,1351,405,14.4372,36,454,36,454,308,1948.5,301.5,1690.5,3015.14,0,2615.48,9370.48,43796,2799.12,5778.9,36,8189,20218,8019,17422,50,19112.7,38686,17586,702.54,0,608.58,2171.34,10152,646.38,1344.6,36,1819,4962,1783,4360,50,3825.12,9066,3486,31.8,0,27.3,94.74,444,27.54,60.3,36,78,288,78,288,50,49.666,404,36,90.8,0,78.4,276.96,1296,81.76,173.2,0,154,672,154,556,0,249.695,1184,208,134.28,0,116.76,421.32,1968,126.6,258,0,399,1074,396,1017,0,516.94,1740,468,131.28,0,113.96,409.16,1912,122.44,251.8,0,292,948,276,824,0,667.553,1776,608,51.8749,0,44.6712,156.515,732.908,45.8793,98.6787,36,121.161,437.767,120.704,417.796,50,122.251,665.764,99.6952,87.1141,0,75.1866,265.274,1241.45,78.2263,166.099,36,205.088,696.23,203.221,644.79,50,278.501,1124.4,240,7.73718,210,51502,47167,138780,16,908,120,910,2.70E+29,7.50E+34,0.126453,0,0.126279,0.0102248,0.0102253,0.125302,0.126274,0.1225,0.0104924,0.0118212,0.0104924,0.0118176,0.13125,0.0103183,0.0125624,0.0102316
12,2.27616,0,2.32942,1.92409,1.50286,2.33069,2.06365,10.5579,2.05341,1.79696,2.06375,1.83087,10.3632,1.83236,1.62564,1.86459,17,108.35,0,92.4,313.94,1474,89.54,204.05,35,207,499,204,458,45,340.824,859,299,164.912,424,144,9.68698,17,154,17,154,93,451.5,91.5,401.5,824.92,0,707.49,2447.65,11474,709.57,1562.65,24,1811,3705,1754,3252,34,3842.9,7088,3492,256.48,0,219.31,751.55,3526,216.03,484.35,24,541,1201,528,1074,34,1040.61,2200,932,21.68,0,18.41,61.69,290,17.37,40.65,24,40,132,40,132,34,33.3302,192,24,57.6,0,49,165.16,776,46.76,108.2,0,86,270,86,232,0,154.521,496,128,75.48,0,64.26,217.14,1020,61.62,141.9,0,177,375,177,357,0,277.732,636,252,56.96,0,48.72,167.12,784,48.08,107.6,0,140,248,132,204,0,283.391,480,256,32.8901,0,27.9579,93.999,441.75,26.5507,61.7341,24,60.2164,184.801,60.0514,178.521,34,69.438,287.9,55.2667,49.6953,0,42.294,142.759,670.667,40.4713,93.3933,24,93.6167,263.267,92.9167,248.083,34,131.273,431.333,110,5.36017,135,9469,8770,22844,11,308,55,350,1.58E+16,6.88E+19,0.125205,0,0.125104,0.0102191,0.0102193,0.124479,0.1251,0.121818,0.0103676,0.0112124,0.0103676,0.0112107,0.130909,0.0103101,0.0117682,0.0102241
20,2.85435,0,2.91434,2.48042,2.00762,2.9291,2.62639,16.442,2.59308,2.18063,2.59522,2.23704,16.2203,2.3261,1.98516,2.35889,28,260.27,0,221.34,745.28,3502,210.8,488.75,57,584,1970,574,1705,73,975.095,3585,865,479.048,1784,424,16.2746,33.5,578,33.5,578,284.5,2799.5,277,2258,2868.48,0,2444.96,8293.28,38944,2361.76,5399.2,40,6565,21880,6501,17735,56,14932.1,42876,13664,761.76,0,648.62,2192.78,10300,622.54,1432.3,40,1755,5918,1731,4925,56,3541.01,11268,3200,36.24,0,30.73,102.49,482,28.73,67.85,40,85,340,85,340,56,55.858,496,40,108.56,0,92.12,307.96,1448,86.52,203.4,0,254,788,238,654,0,291.304,1536,240,178.74,0,151.83,509.31,2394,143.55,335.25,0,402,1533,402,1446,0,664.304,2646,594,201.28,0,171.36,579.04,2720,164.32,378.4,0,468,1508,460,1124,0,1004.28,2976,896,61.1914,0,51.9276,173.628,816.368,48.7883,114.656,40,142.813,530.99,140.688,502.374,56,142.717,857.008,115.486,104.271,0,88.5647,297.004,1396.1,83.6889,195.556,40,242.388,864.764,237.888,783.755,56,318.718,1488.38,272,8.34334,239,64579,56069,180308,17,1156,136,966,2.28E+32,2.30E+38,0.12764,0,0.127564,0.0102373,0.0102375,0.127079,0.0102396,0.123529,0.0105076,0.0120235,0.0105071,0.0120195,0.132941,0.0103373,0.0129633,0.0102425
17,2.40306,0,2.43725,2.09247,1.73979,2.4186,2.22373,15.6598,2.12337,1.98173,2.1247,1.98757,15.4685,1.96561,1.85429,1.98309,25,219.52,0,191.36,696.96,3264,199.04,424.64,50,818,1430,814,1370,66,968.373,1642,898,476.186,813,441,13.636,99.5,367.5,99.5,367.5,567,1604.5,557,1474.5,3454.78,0,3057.8,11644.1,54432,3344.48,6805.28,34,11904,19106,11840,18634,50,23821,36622,22662,745.22,0,654.56,2438.2,11408,698.28,1454.64,34,2720,4574,2704,4414,50,4400.51,7038,4150,29.78,0,25.68,90.44,424,25.88,56.84,34,144,272,144,272,50,45.7405,130,34,80.36,0,69.4,245.64,1152,69.64,153.76,0,284,556,284,484,0,215.164,408,184,115.08,0,99.48,353.16,1656,100.2,220.44,0,516,900,516,876,0,420.565,780,396,124.32,0,108,389.28,1824,110.88,239.52,0,520,896,504,832,0,625.563,1056,576,48.0427,0,41.501,146.981,689.041,41.9453,91.9115,34,213.399,399.802,213.149,388.913,50,112.355,248.896,94.3524,81.8547,0,70.932,253.699,1188.96,72.3583,157.209,34,342.183,627.512,341.183,602.845,50,269.232,514.524,240,7.6647,196,67024,62716,92760,16,735,120,974,7.67E+28,7.19E+31,0.124939,0,0.124675,0.0102105,0.0102107,0.123896,0.124615,0.12125,0.010909,0.0117176,0.010909,0.0117153,0.13125,0.0102927,0.0108254,0.0102183
10,2.20941,0,2.27942,1.76628,1.26527,2.28425,1.93844,9.55557,1.8921,1.76521,1.90595,1.80545,9.41183,1.66968,1.57468,1.72044,13,89.4,0,76.3,259.9,1220,74.3,168.5,30,200,340,196,300,36,270.473,424,232,130.237,207,111,7.87929,26,93,26,93,85.5,218.5,83.5,198.5,583.9,0,500.15,1723.47,8082,497.87,1104.65,20,1290,1870,1226,1602,26,2513.93,3174,2214,197.7,0,169.05,579.33,2718,166.53,373.35,20,446,714,430,614,26,755.459,1058,658,18.04,0,15.33,51.49,242,14.53,33.85,20,60,100,60,100,26,28.252,68,20,50.32,0,42.84,144.76,680,41.08,94.6,0,80,224,80,176,0,136.542,288,112,69.54,0,59.43,203.31,954,58.35,131.25,0,174,258,174,222,0,263.426,378,234,42.4,0,36.4,126.32,592,36.72,80.4,0,112,112,96,96,0,213.876,224,192,27.7073,0,23.5753,79.5164,373.583,22.5267,52.0584,20,78.3544,139.466,78.1044,131.882,26,59.325,122.3,46.4667,41.6927,0,35.5203,120.303,565,34.2123,78.4383,20,107.133,192.467,106.133,175.467,26,109.559,200,90,4.60906,112,6022,5522,9718,10,186,45,270,8.68E+13,1.23E+16,0.123265,0,0.123171,0.0102009,0.0102012,0.122595,0.123168,0.12,0.0106041,0.0110113,0.0106041,0.0110089,0.126,0.0102894,0.0106945,0.12643
16,2.48831,0,2.53727,2.1647,1.76306,2.54081,2.29336,13.5576,2.30155,1.97631,2.30561,2.00107,13.3901,2.03241,1.80377,2.07174,22,176.12,0,149.94,506.66,2380,143.78,331.1,46,328,1043,326,962,58,648.5,1920,558,317.25,953,272,12.9295,24.5,255.5,24.5,255.5,138.5,1148,137.5,994,1808.32,0,1546.79,5306.55,24894,1526.87,3416.15,32,3668,10426,3636,9324,44,10042.2,21074,8800,486.56,0,415.17,1413.17,6634,403.73,916.85,32,964,2922,956,2648,44,2334.78,5670,2032,28.96,0,24.57,82.09,386,23.05,54.25,32,55,204,55,204,44,44.8724,346,32,83.08,0,70.56,236.56,1112,66.64,155.8,0,132,552,132,486,0,222.214,932,184,113.7,0,96.6,324.24,1524,91.44,213.3,0,237,708,237,663,0,429.848,1350,378,107.92,0,91.84,309.92,1456,87.84,202.8,0,224,660,216,608,0,547.503,1264,480,46.2289,0,39.2504,131.46,618.01,36.998,86.666,32,85.7946,314.785,85.6696,303.375,44,103.928,543.78,82.4524,74.3528,0,63.1913,212.333,997.914,59.9413,139.533,32,139.095,489.66,138.595,461.248,44,218.939,869.19,182,6.84334,185,24905,23401,75392,14,511,91,630,5.63E+23,6.78E+28,0.126647,0,0.126559,0.0102301,0.0102304,0.126008,0.126556,0.122857,0.0103976,0.011477,0.0103976,0.0114747,0.131429,0.0103286,0.012505,0.0102352
17,2.25595,0,2.2805,2.01609,1.69804,2.2875,2.1192,15.7376,2.06689,1.93687,2.06837,1.94201,15.6375,1.89582,1.82693,1.91499,23,229.76,0,201.92,688,3872,184.96,432,50,760,1420,752,1342,62,1003.34,1600,896,493.668,792,440,13.4624,89,378,89,378,491,1578.5,480,1459.5,3711.04,0,3318.88,11565.9,68320,3115.36,7024.8,34,10866,18554,10738,17970,46,25597.8,34736,23488,785.04,0,696.28,2397.04,13892,643.28,1480.4,34,2486,4462,2454,4258,46,4611.55,6704,4192,30.74,0,26.48,88.9,458,24.34,57.6,34,144,272,144,272,46,48.0898,130,34,86.56,0,75.12,253.6,1352,68.96,162.4,0,240,616,240,524,0,233.927,480,192,129.24,0,113.58,387,2178,104.04,243,0,540,918,540,870,0,480.879,816,432,116.16,0,101.52,340.08,1920,89.84,217.2,0,488,792,456,728,0,569.255,928,512,50.1863,0,43.4646,146.428,774.373,39.8542,94.1059,34,206.92,405.44,206.42,391.162,46,118.33,255.31,95.1079,85.6879,0,74.6563,252.533,1372.64,68.3143,160.819,34,324.817,633.684,322.817,601.351,46,280.52,517.971,240,7.57539,194,61332,57498,89896,16,756,120,968,1.39E+29,6.25E+31,0.124743,0,0.124281,0.0102097,0.0101921,0.124359,0.124663,0.12125,0.0109076,0.0117194,0.0109076,0.0117166,0.12875,0.010308,0.0108277,0.0102186
9,2.17403,0,2.23816,1.75831,1.2856,2.23851,1.92122,8.58576,1.88053,1.75154,1.8975,1.79358,8.43266,1.69382,1.5903,1.73944,12,72.27,0,61.74,210.96,990,60.48,136.35,27,151,257,147,229,33,205.767,333,177,98.3833,162,84,7.11526,18.5,72,18.5,72,62,162,60,148,417.2,0,358.05,1241.33,5818,360.53,790.85,18,923,1329,859,1129,24,1702.19,2200,1512,149.2,0,127.75,439.67,2062,126.87,282.15,18,327,521,311,449,24,539.019,776,472,16.22,0,13.79,46.39,218,13.11,30.45,18,45,81,45,81,24,25.2579,66,18,43.04,0,36.68,124.36,584,35.4,81,0,64,168,64,136,0,116.502,240,96,53.16,0,45.57,157.41,738,45.57,100.65,0,132,186,132,162,0,200.631,276,180,28.48,0,24.36,83.56,392,24.04,53.8,0,76,76,60,60,0,141.102,144,128,24.0803,0,20.5022,69.2942,325.498,19.6684,45.2734,18,59.1564,110.156,58.9064,105.018,24,49.9004,108.872,39.0667,34.9987,0,29.8398,101.311,475.7,28.8758,65.8958,18,80.8167,148.817,79.8167,137.15,24,87.7156,167.667,72,4.19838,99,3911,3568,6423,9,144,36,210,6.42E+11,6.35E+13,0.123109,0,0.123006,0.0102006,0.0102009,0.122378,0.123003,0.12,0.0105036,0.0109094,0.0105036,0.0109076,0.126667,0.0102872,0.0107468,0.126037
17,2.40694,0,2.44312,2.12489,1.7863,2.42649,2.24224,14.6475,2.22315,1.96552,2.23133,1.99145,14.5217,1.99557,1.8235,2.02825,23,199.95,0,171.15,588.45,2760,169.65,378,49,413,1287,407,1183,61,799.022,2225,689,392.011,1105,337,13.6803,34.5,309.5,34.5,309.5,183,1458.5,180,1277.5,2407.3,0,2081.8,7389.44,34564,2190.24,4599.3,34,5444,14804,5330,12962,46,15326.2,29392,13394,593.18,0,510.16,1780.44,8340,520.12,1126.9,34,1300,3840,1274,3442,46,3178.25,7136,2766,30.62,0,26.04,87.68,412,24.8,57.5,34,74,232,74,232,46,47.4045,348,34,89.72,0,76.44,258.92,1216,73.64,168.8,0,148,652,148,580,0,240.643,1036,200,123.66,0,105.42,357.78,1680,101.94,232.8,0,270,840,270,792,0,472.436,1494,414,121.2,0,103.6,354.64,1664,101.84,228.8,0,256,816,240,752,0,619.628,1440,544,49.579,0,42.2181,142.757,670.551,40.5375,93.2274,34,109.572,364.927,109.242,352.067,46,113.954,570.734,90.9595,81.3937,0,69.4353,236.171,1108.76,67.4263,153.338,34,174.021,580.726,172.621,547.212,46,251.355,948.667,210,7.23718,198,35750,33478,100920,15,619,105,766,3.67E+26,6.09E+31,0.12667,0,0.126504,0.0102268,0.0102272,0.125508,0.126499,0.122667,0.0104983,0.0115686,0.0104983,0.0115662,0.130667,0.0103242,0.0123549,0.0102334
