		      mean           sd          IQR            0%           25%           50%           75%          100%   n NA
AM1_dipole    2.070434e+07 2.206449e+07 3.379453e+07  0.000000e+00  7.585731e-01  1.625171e+07  3.379453e+07  9.945333e+07 504  4
AM1_E        -3.890058e+07 2.735064e+07 4.329778e+07 -9.908112e+07 -5.853985e+07 -4.189988e+07 -1.524207e+07  0.000000e+00 504  4
AM1_Eele     -1.012289e+07 2.503269e+07 3.118084e+05 -9.940402e+07 -4.971176e+05 -2.870304e+05 -1.853092e+05 -2.489491e+04 473 35
AM1_HF        4.022436e+07 2.909413e+07 4.245975e+07 -8.262631e+07  1.852781e+07  3.902192e+07  6.098756e+07  9.985358e+07 473 35
AM1_HOMO     -4.430938e+07 4.635577e+07 9.364917e+07 -9.996340e+07 -9.468550e+07 -1.222082e+06 -1.036328e+06 -1.003900e+04 473 35
AM1_IP        3.990976e+07 4.536090e+07 9.164094e+07  1.003900e+04  1.038458e+06  1.173333e+06  9.267940e+07  9.996340e+07 473 35
AM1_LUMO     -2.947599e+07 2.770460e+07 5.885010e+07 -9.661820e+07 -5.919030e+07 -2.706740e+07 -3.402030e+05  2.420480e+05 473 35
MNDO_E       -4.180761e+07 2.565273e+07 3.370409e+07 -9.841627e+07 -6.003981e+07 -4.423160e+07 -2.633572e+07 -1.051251e+04 467 41
MNDO_Eele    -9.881114e+06 2.393705e+07 3.301695e+05 -9.854020e+07 -5.201638e+05 -2.850148e+05 -1.899943e+05 -5.582118e+04 467 41
MNDO_HF       4.154618e+07 2.858170e+07 4.444724e+07 -9.060250e+07  1.943263e+07  4.107379e+07  6.387987e+07  9.822065e+07 467 41
MNDO_HOMO    -5.171008e+07 4.519039e+07 9.263787e+07 -9.997760e+07 -9.369100e+07 -8.438030e+07 -1.053136e+06 -1.024100e+04 467 41
MNDO_IP       4.356088e+07 4.523052e+07 9.084157e+07  1.024100e+04  1.048281e+06  1.310887e+06  9.188985e+07  9.997760e+07 467 41
MNDO_LUMO    -2.718870e+07 2.727203e+07 5.634666e+07 -9.287300e+07 -5.662700e+07 -2.499960e+07 -2.803365e+05  1.238810e+07 467 41
PM3_E        -3.972620e+07 2.452501e+07 3.199317e+07 -9.648509e+07 -5.642592e+07 -4.062382e+07 -2.443275e+07 -1.475579e+04 475 33
PM3_Eele     -1.111695e+07 2.560224e+07 3.430596e+05 -9.843889e+07 -5.253327e+05 -2.909640e+05 -1.822731e+05 -1.895485e+04 475 33
PM3_HF        3.674970e+07 2.979014e+07 4.239447e+07 -9.918637e+07  1.669020e+07  3.693850e+07  5.908467e+07  9.866808e+07 475 33
PM3_HOMO     -4.993429e+07 4.564171e+07 9.298351e+07 -9.979570e+07 -9.402135e+07 -8.291160e+07 -1.037835e+06 -9.665000e+03 475 33
PM3_IP        4.143326e+07 4.500550e+07 9.010804e+07  9.066000e+03  1.038112e+06  1.199264e+06  9.114615e+07  9.979570e+07 475 33
PM3_LUMO     -2.968334e+07 2.747290e+07 5.721423e+07 -9.653930e+07 -5.755555e+07 -2.865640e+07 -3.413250e+05  1.576880e+05 475 33

